path,quality_score,decision,labels,blur_lap_var,brightness_mean,contrast_rms,sat_low_ratio,sat_high_ratio,noise_hf
C:\Users\ALI\Desktop\indirilen fotolar\00dc9380ee.jpg,69,reject,dark|underexposed|noisy,20481.845,50.271,37.613,0.08207,0.00000,0.46651
C:\Users\ALI\Desktop\indirilen fotolar\02116e752c.jpg,71,accept,dark|noisy,23830.638,53.264,35.424,0.07272,0.00000,0.50253
C:\Users\ALI\Desktop\indirilen fotolar\0373ac21ad.jpg,77,accept,noisy,18974.408,74.231,53.809,0.05351,0.00000,0.41559
C:\Users\ALI\Desktop\indirilen fotolar\03b7ec608a.jpg,72,accept,dark|noisy,20836.169,56.675,41.576,0.07379,0.00000,0.46248
C:\Users\ALI\Desktop\indirilen fotolar\04bbe4e66b.jpg,69,reject,dark|underexposed|noisy,22286.270,50.699,36.359,0.08483,0.00000,0.48473
C:\Users\ALI\Desktop\indirilen fotolar\04fd6d7c9c.jpg,70,accept,dark|low_contrast|noisy,23805.820,51.514,34.610,0.07903,0.00000,0.50088
C:\Users\ALI\Desktop\indirilen fotolar\08bbadef2b.jpg,68,reject,dark|underexposed|noisy,22858.034,49.118,35.806,0.08939,0.00000,0.49087
C:\Users\ALI\Desktop\indirilen fotolar\093ad8d3cb.jpg,72,accept,dark|noisy,21828.439,57.593,40.788,0.07036,0.00000,0.47304
C:\Users\ALI\Desktop\indirilen fotolar\0_IPHONE-SE_M.JPG,57,reject,blurred|overexposed,48.267,152.256,64.750,0.00000,0.16842,0.01613
C:\Users\ALI\Desktop\indirilen fotolar\0a9a650a0b.jpg,68,reject,dark|low_contrast|underexposed|noisy,23205.276,48.565,33.667,0.08454,0.00000,0.49697
C:\Users\ALI\Desktop\indirilen fotolar\0ac6979eca.jpg,71,accept,dark|noisy,23226.925,53.867,36.390,0.07165,0.00000,0.49558
C:\Users\ALI\Desktop\indirilen fotolar\0be9a6ba0c.jpg,71,accept,dark|noisy,23440.193,54.368,37.442,0.07467,0.00000,0.49772
C:\Users\ALI\Desktop\indirilen fotolar\0c57e72045.jpg,81,accept,noisy,15592.273,97.395,52.149,0.02568,0.00000,0.35716
C:\Users\ALI\Desktop\indirilen fotolar\0cfb16f2dd.jpg,72,accept,dark|noisy,22482.263,54.518,36.316,0.06909,0.00000,0.48716
C:\Users\ALI\Desktop\indirilen fotolar\0df14cf243.jpg,69,reject,dark|underexposed|noisy,22916.298,50.516,36.694,0.08565,0.00000,0.49105
C:\Users\ALI\Desktop\indirilen fotolar\0e757af2d5.jpg,76,accept,dark|noisy,21773.576,67.101,44.018,0.05369,0.00000,0.47260
C:\Users\ALI\Desktop\indirilen fotolar\0e81eb0721.jpg,78,accept,dark|noisy,20585.674,68.458,42.419,0.04036,0.00000,0.45939
C:\Users\ALI\Desktop\indirilen fotolar\0f3f8d6a15.jpg,75,accept,dark|noisy,22229.130,61.905,39.338,0.05870,0.00000,0.48071
C:\Users\ALI\Desktop\indirilen fotolar\0f674003cf.jpg,75,accept,noisy,19656.554,70.000,53.399,0.06406,0.00000,0.43303
C:\Users\ALI\Desktop\indirilen fotolar\100_NIKON-D3400-35MM_M.JPG,92,accept,dark,335.358,31.929,37.709,0.00050,0.01495,0.03436
C:\Users\ALI\Desktop\indirilen fotolar\101_NIKON-D3400-35MM_M.JPG,84,reject,blurred|dark|low_contrast,108.021,23.844,27.302,0.00671,0.00536,0.02875
C:\Users\ALI\Desktop\indirilen fotolar\102_NIKON-D3400-35MM_M.JPG,58,reject,blurred|dark|low_contrast,52.906,15.378,22.053,0.06018,0.00245,0.01656
C:\Users\ALI\Desktop\indirilen fotolar\103_HUAWEI-P20_M.jpg,61,reject,blurred|overexposed,64.365,179.035,70.581,0.00029,0.29921,0.01350
C:\Users\ALI\Desktop\indirilen fotolar\104_IPHONE-SE_M.jpg,90,reject,blurred,78.371,122.516,52.371,0.00000,0.00000,0.02172
C:\Users\ALI\Desktop\indirilen fotolar\105_IPHONE-SE_M.jpg,73,reject,blurred|low_contrast,42.468,130.401,21.449,0.00000,0.00000,0.01875
C:\Users\ALI\Desktop\indirilen fotolar\106_NIKON-D3400-35MM_M.JPG,99,accept,,245.368,135.853,58.332,0.00000,0.00654,0.02952
C:\Users\ALI\Desktop\indirilen fotolar\107_XIAOMI-MI8-SE_M.jpg,100,accept,,314.722,142.419,52.378,0.00030,0.00000,0.04247
C:\Users\ALI\Desktop\indirilen fotolar\1088ac3e42.jpg,69,reject,dark|underexposed|noisy,22363.640,49.432,35.319,0.08595,0.00000,0.48586
C:\Users\ALI\Desktop\indirilen fotolar\108_XIAOMI-MI8-SE_M.jpg,89,accept,,417.325,158.810,49.532,0.00000,0.07012,0.05545
C:\Users\ALI\Desktop\indirilen fotolar\109_HONOR-7X_M.jpg,95,reject,blurred,103.265,125.778,71.800,0.00396,0.00037,0.02242
C:\Users\ALI\Desktop\indirilen fotolar\10_ASUS-ZENFONE-LIVE-ZB501KL_M.jpg,71,reject,blurred,4.994,107.982,39.594,0.00000,0.00000,0.00653
C:\Users\ALI\Desktop\indirilen fotolar\110_IPHONE-7_M.jpeg,71,reject,blurred|overexposed,73.019,123.437,79.409,0.00000,0.10866,0.02071
C:\Users\ALI\Desktop\indirilen fotolar\111_IPHONE-7_M.jpeg,84,reject,blurred,54.150,153.505,47.173,0.00000,0.00000,0.01977
C:\Users\ALI\Desktop\indirilen fotolar\112_NIKON-D3400-35MM_M.JPG,58,reject,blurred|overexposed,50.450,178.273,76.735,0.00000,0.43377,0.01615
C:\Users\ALI\Desktop\indirilen fotolar\113_SAMSUNG-GALAXY-A5_M.jpg,63,reject,blurred|overexposed|underexposed,70.877,99.510,92.669,0.09265,0.21312,0.01298
C:\Users\ALI\Desktop\indirilen fotolar\114_ASUS-ZE500KL_M.jpg,76,reject,blurred,54.006,85.165,65.063,0.00008,0.04791,0.01642
C:\Users\ALI\Desktop\indirilen fotolar\115_NIKON-D3400-35MM_M.JPG,100,accept,,158.361,75.242,51.836,0.00198,0.00106,0.03301
C:\Users\ALI\Desktop\indirilen fotolar\116_BQ-5512L_M.jpg,49,reject,blurred|dark|underexposed,20.108,46.694,51.898,0.13271,0.01038,0.01020
C:\Users\ALI\Desktop\indirilen fotolar\117_HONOR-7X_M.jpg,52,reject,blurred|too_bright|overexposed,35.090,197.722,53.685,0.00000,0.40668,0.01205
C:\Users\ALI\Desktop\indirilen fotolar\118_HONOR-7X_M.jpg,75,reject,overexposed,522.990,160.887,81.996,0.00000,0.34256,0.03691
C:\Users\ALI\Desktop\indirilen fotolar\119_HONOR-7X_M.jpg,57,reject,blurred|too_bright|overexposed,16.864,185.724,54.542,0.00000,0.11160,0.00981
C:\Users\ALI\Desktop\indirilen fotolar\11_XIAOMI-MI8-SE_M.jpg,100,accept,,238.976,132.141,46.974,0.00006,0.00000,0.04028
C:\Users\ALI\Desktop\indirilen fotolar\12_SAMSUNG-GALAXY-J5_M.jpg,100,reject,blurred,118.569,139.412,42.140,0.00000,0.00015,0.03214
C:\Users\ALI\Desktop\indirilen fotolar\13_IPHONE-8-PLUS_M.jpg,79,reject,blurred,73.327,93.441,71.164,0.05776,0.00000,0.02142
C:\Users\ALI\Desktop\indirilen fotolar\14_IPHONE-7_M.jpeg,77,reject,blurred|low_contrast,42.590,125.628,30.099,0.00000,0.00260,0.01812
C:\Users\ALI\Desktop\indirilen fotolar\15_HONOR-7C_M.jpg,74,reject,blurred,14.953,123.498,61.995,0.00000,0.00000,0.01076
C:\Users\ALI\Desktop\indirilen fotolar\16_IPHONE-7_M.jpeg,73,reject,blurred|low_contrast,31.440,142.246,26.993,0.00000,0.00346,0.01587
C:\Users\ALI\Desktop\indirilen fotolar\16db12d247.jpg,71,accept,dark|low_contrast|noisy,22004.850,51.093,34.807,0.07451,0.00000,0.48617
C:\Users\ALI\Desktop\indirilen fotolar\17_HUAWEI-MATE20_M.jpg,100,accept,,598.861,102.051,40.857,0.00000,0.00223,0.03558
C:\Users\ALI\Desktop\indirilen fotolar\18_XIAOMI-REDMI-5-PLUS_M.jpg,77,reject,blurred,27.038,129.761,43.939,0.00000,0.00005,0.01176
C:\Users\ALI\Desktop\indirilen fotolar\19_IPHONE-7-PLUS_M.jpeg,83,reject,blurred,51.979,128.608,58.774,0.00058,0.00233,0.01921
C:\Users\ALI\Desktop\indirilen fotolar\1_XIAOMI-PROCOFONE-F1_M.jpg,97,reject,blurred,108.399,112.489,52.954,0.00000,0.00034,0.02693
C:\Users\ALI\Desktop\indirilen fotolar\1a716cd8b3.jpg,72,accept,dark|noisy,22348.536,57.259,40.403,0.07257,0.00000,0.47918
C:\Users\ALI\Desktop\indirilen fotolar\1aaf570d5b.jpg,73,accept,dark|noisy,23425.900,56.402,36.740,0.06750,0.00000,0.49424
C:\Users\ALI\Desktop\indirilen fotolar\1b252b4e31.jpg,78,accept,noisy,20830.459,70.175,44.193,0.04754,0.00000,0.45332
C:\Users\ALI\Desktop\indirilen fotolar\20_XIAOMI-REDMI-3S_M.jpg,68,reject,blurred|low_contrast,3.298,161.986,30.733,0.00000,0.00000,0.00477
C:\Users\ALI\Desktop\indirilen fotolar\21_HUAWEI-Y9_M.jpg,52,reject,blurred|overexposed,17.529,120.225,82.085,0.00002,0.14071,0.00865
C:\Users\ALI\Desktop\indirilen fotolar\21d6250541.jpg,67,reject,dark|low_contrast|underexposed|noisy,22985.416,47.758,33.457,0.08860,0.00000,0.49378
C:\Users\ALI\Desktop\indirilen fotolar\22_HUAWEI-Y9_M.jpg,70,reject,blurred|underexposed,56.144,130.991,72.586,0.08224,0.00532,0.01191
C:\Users\ALI\Desktop\indirilen fotolar\23_HUAWEI-P20_M.jpg,86,reject,overexposed,825.018,93.856,77.971,0.00010,0.09258,0.05058
C:\Users\ALI\Desktop\indirilen fotolar\24_HUAWEI-Y9_M.jpg,82,reject,blurred,46.450,109.490,72.724,0.00000,0.00000,0.01601
C:\Users\ALI\Desktop\indirilen fotolar\25_HUAWEI-Y9_M.jpg,71,reject,blurred,37.014,172.577,81.245,0.01197,0.03768,0.01196
C:\Users\ALI\Desktop\indirilen fotolar\263cf87dc7.jpg,79,accept,noisy,16827.464,86.928,50.386,0.03769,0.00000,0.38268
C:\Users\ALI\Desktop\indirilen fotolar\26_HONOR-8X_M.jpg,75,reject,blurred,19.033,147.676,45.764,0.00000,0.00000,0.01102
C:\Users\ALI\Desktop\indirilen fotolar\27_HONOR-8X_M.jpg,66,reject,blurred|low_contrast,20.264,165.462,19.668,0.00000,0.00000,0.01141
C:\Users\ALI\Desktop\indirilen fotolar\27c805666d.jpg,68,reject,dark|underexposed|noisy,22630.252,49.430,36.255,0.09155,0.00000,0.48660
C:\Users\ALI\Desktop\indirilen fotolar\28_HONOR-8X_M.jpg,68,reject,blurred,21.771,135.961,70.380,0.00030,0.04547,0.00803
C:\Users\ALI\Desktop\indirilen fotolar\29_HONOR-7X_M.jpg,81,reject,blurred,61.770,73.229,62.478,0.00925,0.01821,0.02270
C:\Users\ALI\Desktop\indirilen fotolar\2_XIAOMI-PROCOFONE-F1_M.jpg,74,reject,blurred,14.846,119.492,42.618,0.00000,0.00000,0.00954
C:\Users\ALI\Desktop\indirilen fotolar\2b60bdb95d.jpg,78,accept,noisy,22523.070,70.913,41.267,0.04487,0.00000,0.47616
C:\Users\ALI\Desktop\indirilen fotolar\2c4dcd1d1e.jpg,81,accept,noisy,16133.918,87.216,49.945,0.02700,0.00000,0.36980
C:\Users\ALI\Desktop\indirilen fotolar\2dab1e3035.jpg,78,accept,noisy,21504.902,73.475,42.441,0.04277,0.00000,0.46385
C:\Users\ALI\Desktop\indirilen fotolar\2ee4211382.jpg,71,accept,dark|noisy,20043.831,52.256,38.558,0.07220,0.00000,0.46169
C:\Users\ALI\Desktop\indirilen fotolar\30_HONOR-8X_M.jpg,61,reject,blurred,22.451,87.576,71.867,0.05590,0.03668,0.00855
C:\Users\ALI\Desktop\indirilen fotolar\31_IPHONE-SE_M.jpg,79,reject,blurred|low_contrast,49.577,123.388,28.822,0.00000,0.00016,0.01855
C:\Users\ALI\Desktop\indirilen fotolar\32_HUAWEI-P-SMART_M.jpg,79,reject,blurred,48.557,80.500,53.224,0.00239,0.01622,0.01606
C:\Users\ALI\Desktop\indirilen fotolar\33_HONOR-8X_M.jpg,80,reject,blurred,44.746,106.484,54.067,0.00357,0.00314,0.01325
C:\Users\ALI\Desktop\indirilen fotolar\34_HONOR-8X_M.jpg,80,reject,blurred,42.874,114.925,56.362,0.00111,0.00039,0.01704
C:\Users\ALI\Desktop\indirilen fotolar\351d5ce5a9.jpg,71,accept,dark|noisy,23504.389,52.878,35.546,0.07536,0.00000,0.49834
C:\Users\ALI\Desktop\indirilen fotolar\35_IPHONE-6S_M.jpeg,100,accept,,142.532,130.048,57.335,0.00000,0.00000,0.03162
C:\Users\ALI\Desktop\indirilen fotolar\35ea12b897.jpg,69,reject,dark|underexposed|noisy,21369.908,51.256,37.330,0.08308,0.00000,0.47347
C:\Users\ALI\Desktop\indirilen fotolar\36_HONOR-8X_M.jpg,75,reject,blurred,20.845,108.617,60.961,0.00117,0.00000,0.01249
C:\Users\ALI\Desktop\indirilen fotolar\3720ca97bc.jpg,73,accept,dark|noisy,20632.636,61.836,47.781,0.07251,0.00000,0.45299
C:\Users\ALI\Desktop\indirilen fotolar\379f82f7df.jpg,75,accept,dark|noisy,22734.297,64.723,45.141,0.06221,0.00000,0.48047
C:\Users\ALI\Desktop\indirilen fotolar\37_HONOR-8X_M.jpg,73,reject,blurred,13.355,108.849,57.353,0.00000,0.00470,0.00936
C:\Users\ALI\Desktop\indirilen fotolar\38_HONOR-8X_M.jpg,84,reject,blurred,64.848,132.557,61.724,0.01005,0.00244,0.01442
C:\Users\ALI\Desktop\indirilen fotolar\39_XIAOMI-MI8-LITE_M.jpg,100,accept,,162.953,166.583,47.896,0.00000,0.00003,0.02836
C:\Users\ALI\Desktop\indirilen fotolar\3_HUAWEI-NOVA-LITE_M.jpg,73,reject,blurred,11.732,144.894,45.165,0.00051,0.00000,0.00836
C:\Users\ALI\Desktop\indirilen fotolar\3d31511901.jpg,73,accept,dark|noisy,22601.908,56.873,37.387,0.06475,0.00000,0.48692
C:\Users\ALI\Desktop\indirilen fotolar\3e1838d786.jpg,73,accept,dark|low_contrast|noisy,22318.469,52.902,34.572,0.05867,0.00000,0.48870
C:\Users\ALI\Desktop\indirilen fotolar\40_IPHONE-6S_M.jpeg,75,reject,blurred,28.362,179.961,52.777,0.00000,0.01318,0.01108
C:\Users\ALI\Desktop\indirilen fotolar\41_XIAOMI-PROCOFONE-F1_M.jpg,94,reject,blurred|low_contrast,106.482,142.525,30.130,0.00000,0.00000,0.02582
C:\Users\ALI\Desktop\indirilen fotolar\4296ac8525.jpg,71,accept,dark|noisy,24241.203,52.386,35.100,0.07599,0.00000,0.50776
C:\Users\ALI\Desktop\indirilen fotolar\42_NIKON-D3400-35MM_M.JPG,64,reject,dark|low_contrast|underexposed,129.686,15.304,26.268,0.14107,0.00483,0.01670
C:\Users\ALI\Desktop\indirilen fotolar\43_HONOR-8X_M.jpg,71,reject,blurred|low_contrast,23.177,155.033,25.824,0.00000,0.00000,0.00873
C:\Users\ALI\Desktop\indirilen fotolar\44_SONY-XPERIA-E5_M.jpg,94,reject,blurred,95.536,126.098,58.426,0.00079,0.00000,0.01706
C:\Users\ALI\Desktop\indirilen fotolar\451b99d921.jpg,74,accept,dark|noisy,24102.617,56.246,36.742,0.05596,0.00000,0.50359
C:\Users\ALI\Desktop\indirilen fotolar\451ea62851.jpg,71,accept,dark|noisy,21851.443,55.664,40.959,0.07966,0.00000,0.47335
C:\Users\ALI\Desktop\indirilen fotolar\45_HONOR-7X_M.jpg,100,accept,,124.064,115.681,53.287,0.00000,0.00080,0.02280
C:\Users\ALI\Desktop\indirilen fotolar\463fc865bd.jpg,74,accept,dark|noisy,24581.052,56.795,35.791,0.05662,0.00000,0.50853
C:\Users\ALI\Desktop\indirilen fotolar\46_IPHONE-8-PLUS_M.jpg,85,reject,blurred,102.372,116.350,70.471,0.04755,0.02279,0.02473
C:\Users\ALI\Desktop\indirilen fotolar\47_XIAOMI-REDMI-7_M.jpg,100,accept,,1297.279,154.239,59.918,0.00001,0.00000,0.10223
C:\Users\ALI\Desktop\indirilen fotolar\482cadb24e.jpg,75,accept,dark|noisy,23044.667,63.705,39.220,0.05589,0.00000,0.48631
C:\Users\ALI\Desktop\indirilen fotolar\4830c4207b.jpg,71,accept,dark|noisy,22634.193,53.004,36.620,0.07665,0.00000,0.48900
C:\Users\ALI\Desktop\indirilen fotolar\489e17d69e.jpg,72,accept,dark|noisy,23195.704,58.778,40.755,0.07016,0.00000,0.49212
C:\Users\ALI\Desktop\indirilen fotolar\48_HONOR-8X_M.jpg,72,reject,blurred,9.070,115.758,69.510,0.00027,0.00212,0.00817
C:\Users\ALI\Desktop\indirilen fotolar\49_HONOR-8X_M.jpg,74,reject,blurred,17.353,127.838,52.914,0.00028,0.00006,0.01027
C:\Users\ALI\Desktop\indirilen fotolar\4_XIAOMI-PROCOFONE-F1_M.jpg,100,accept,,129.712,104.840,50.146,0.00000,0.00065,0.03055
C:\Users\ALI\Desktop\indirilen fotolar\4c66fba940.jpg,76,accept,dark|noisy,20624.674,66.508,43.373,0.05539,0.00000,0.45726
C:\Users\ALI\Desktop\indirilen fotolar\4dbdd0fea8.jpg,69,reject,dark|underexposed|noisy,23067.038,49.516,35.367,0.08329,0.00000,0.49522
C:\Users\ALI\Desktop\indirilen fotolar\4dc58dc3ed.jpg,66,reject,dark|low_contrast|underexposed|noisy,22857.635,47.262,33.755,0.09383,0.00000,0.49161
C:\Users\ALI\Desktop\indirilen fotolar\4f0f5dab3b.jpg,70,reject,dark|underexposed|noisy,22516.666,52.219,37.211,0.08264,0.00000,0.48469
C:\Users\ALI\Desktop\indirilen fotolar\50_HONOR-8X_M.jpg,70,reject,blurred,7.664,125.269,69.965,0.01132,0.00000,0.00760
C:\Users\ALI\Desktop\indirilen fotolar\51_IPHONE-SE_M.jpg,76,reject,blurred,22.993,146.387,43.380,0.00000,0.00000,0.01319
C:\Users\ALI\Desktop\indirilen fotolar\52_HONOR-8X_M.jpg,67,reject,blurred,29.641,90.589,71.417,0.00737,0.06240,0.01377
C:\Users\ALI\Desktop\indirilen fotolar\53_NIKON-D3400-35MM_M.JPG,69,reject,dark|underexposed,3005.229,25.053,50.710,0.26383,0.02215,0.06462
C:\Users\ALI\Desktop\indirilen fotolar\54_HONOR-8X_M.jpg,78,reject,blurred,56.330,106.051,62.036,0.01740,0.02121,0.01286
C:\Users\ALI\Desktop\indirilen fotolar\55_HONOR-8X_M.jpg,78,reject,blurred,32.500,125.777,48.024,0.00022,0.00109,0.01142
C:\Users\ALI\Desktop\indirilen fotolar\56_HONOR-8X_M.jpg,75,reject,blurred,36.438,102.192,56.437,0.00031,0.02775,0.01599
C:\Users\ALI\Desktop\indirilen fotolar\57_IPHONE-SE_M.jpg,100,accept,,138.803,90.625,43.879,0.00010,0.00000,0.03274
C:\Users\ALI\Desktop\indirilen fotolar\58_IPHONE-6S_M.jpeg,86,reject,blurred,62.399,102.507,55.042,0.00000,0.00000,0.02229
C:\Users\ALI\Desktop\indirilen fotolar\59_IPHONE-6S_M.jpg,82,reject,blurred,52.903,83.685,55.064,0.00051,0.00727,0.01901
C:\Users\ALI\Desktop\indirilen fotolar\5_XIAOMI-PROCOFONE-F1_M.jpg,100,accept,,281.017,98.151,49.926,0.00000,0.00000,0.04666
C:\Users\ALI\Desktop\indirilen fotolar\5c0bc27f04.jpg,75,accept,dark|noisy,19422.037,65.177,46.512,0.06046,0.00000,0.43717
C:\Users\ALI\Desktop\indirilen fotolar\5c28915ae6.jpg,69,reject,dark|underexposed|noisy,21410.407,54.483,41.682,0.08544,0.00000,0.46819
C:\Users\ALI\Desktop\indirilen fotolar\600bce49ef.jpg,70,accept,dark|noisy,22180.729,51.729,37.239,0.07994,0.00000,0.48565
C:\Users\ALI\Desktop\indirilen fotolar\60_IPHONE-8-PLUS_M.jpg,94,accept,,155.160,84.305,52.732,0.04066,0.00000,0.03405
C:\Users\ALI\Desktop\indirilen fotolar\61_XIAOMI-REDMI-7_M.jpg,97,accept,noisy,2381.253,123.747,46.987,0.00021,0.00000,0.14363
C:\Users\ALI\Desktop\indirilen fotolar\61e6f6109c.jpg,71,accept,dark|noisy,22042.304,53.467,37.901,0.07621,0.00000,0.48134
C:\Users\ALI\Desktop\indirilen fotolar\62_HONOR-8X_M.jpg,74,reject,blurred,21.220,97.046,61.391,0.00524,0.00000,0.01234
C:\Users\ALI\Desktop\indirilen fotolar\62ebcbaf99.jpg,71,accept,dark|noisy,22639.941,53.509,37.052,0.07673,0.00000,0.48751
C:\Users\ALI\Desktop\indirilen fotolar\63_HUAWEI-P20_M.jpg,64,reject,blurred|underexposed,65.741,73.312,82.085,0.14538,0.00000,0.01909
C:\Users\ALI\Desktop\indirilen fotolar\64_SAMSUNG-GALAXY-S5_M.jpg,74,reject,blurred,15.956,156.898,44.905,0.00000,0.00000,0.01150
C:\Users\ALI\Desktop\indirilen fotolar\65_NIKON-D3400-35MM_M.JPG,77,reject,blurred|dark,83.601,35.391,58.208,0.00489,0.05050,0.01563
C:\Users\ALI\Desktop\indirilen fotolar\66_HONOR-8X_M.jpg,100,accept,,142.319,107.344,38.595,0.00000,0.00000,0.03539
C:\Users\ALI\Desktop\indirilen fotolar\67_HONOR-8X_M.jpg,51,reject,blurred|overexposed,5.081,157.752,53.900,0.00000,0.13215,0.00609
C:\Users\ALI\Desktop\indirilen fotolar\68_HONOR-8X_M.jpg,76,reject,blurred,25.095,122.081,52.196,0.00003,0.00263,0.01391
C:\Users\ALI\Desktop\indirilen fotolar\69_SAMSUNG-GALAXY-J3_M.jpg,81,reject,blurred,44.104,108.872,53.830,0.00232,0.00019,0.01844
C:\Users\ALI\Desktop\indirilen fotolar\6_HUAWEI-MATE20_M.jpg,100,accept,,368.152,138.261,44.758,0.00001,0.00004,0.03261
C:\Users\ALI\Desktop\indirilen fotolar\6a5e9eac29.jpg,73,accept,dark|noisy,19810.526,63.817,50.488,0.07204,0.00000,0.43878
C:\Users\ALI\Desktop\indirilen fotolar\6bd347e8ee.jpg,73,accept,dark|noisy,20326.098,62.611,46.886,0.07197,0.00000,0.44972
C:\Users\ALI\Desktop\indirilen fotolar\6e2781163c.jpg,73,accept,dark|noisy,20740.230,56.460,39.136,0.06665,0.00000,0.46344
C:\Users\ALI\Desktop\indirilen fotolar\6f36425496.jpg,67,reject,dark|low_contrast|underexposed|noisy,23017.426,48.264,33.670,0.08817,0.00000,0.49360
C:\Users\ALI\Desktop\indirilen fotolar\70_HONOR-8X_M.jpg,70,reject,blurred,29.696,89.330,69.319,0.00000,0.04463,0.01471
C:\Users\ALI\Desktop\indirilen fotolar\71_SAMSUNG-GALAXY-A6_M.jpg,73,reject,blurred,26.619,98.845,63.596,0.02518,0.00097,0.01435
C:\Users\ALI\Desktop\indirilen fotolar\72_IPHONE-8_M.jpg,91,reject,blurred,88.873,162.307,48.777,0.00104,0.00993,0.02518
C:\Users\ALI\Desktop\indirilen fotolar\735fd79f13.jpg,67,reject,dark|low_contrast|underexposed|noisy,21384.438,46.676,33.806,0.09049,0.00000,0.47882
C:\Users\ALI\Desktop\indirilen fotolar\73_PANASONIC-DMC-TZ35_M.JPG,82,reject,blurred,46.004,121.583,44.240,0.00000,0.00000,0.01816
C:\Users\ALI\Desktop\indirilen fotolar\74_HONOR-8X_M.jpg,76,reject,blurred,24.678,139.831,56.524,0.00000,0.00000,0.01345
C:\Users\ALI\Desktop\indirilen fotolar\75_HONOR-8X_M.jpg,68,reject,blurred,11.229,117.534,58.018,0.00077,0.02872,0.00940
C:\Users\ALI\Desktop\indirilen fotolar\76_HONOR-8X_M.jpg,63,reject,blurred|underexposed,23.150,91.390,50.981,0.08416,0.00000,0.01157
C:\Users\ALI\Desktop\indirilen fotolar\77_HONOR-7C_M.jpg,95,reject,blurred,98.546,134.627,44.949,0.00005,0.00000,0.02778
C:\Users\ALI\Desktop\indirilen fotolar\78_NIKON-D3400-35MM_M.JPG,96,accept,dark,262.443,46.400,48.663,0.00057,0.00585,0.02976
C:\Users\ALI\Desktop\indirilen fotolar\799eea3f84.jpg,67,reject,dark|low_contrast|underexposed|noisy,22943.054,48.406,34.182,0.08927,0.00000,0.49277
C:\Users\ALI\Desktop\indirilen fotolar\79_HUAWEI-P30-PRO_M.jpg,97,reject,blurred,114.215,121.506,53.777,0.00061,0.00964,0.01884
C:\Users\ALI\Desktop\indirilen fotolar\7_NIKON-D3400-35MM_M.JPG,82,reject,blurred,84.566,156.205,79.776,0.00000,0.05892,0.01735
C:\Users\ALI\Desktop\indirilen fotolar\7adafe8448.jpg,70,reject,dark|underexposed|noisy,22783.953,51.133,36.617,0.08065,0.00000,0.49061
C:\Users\ALI\Desktop\indirilen fotolar\7aee40b5b7.jpg,71,accept,dark|noisy,19902.977,52.309,38.576,0.07172,0.00000,0.45962
C:\Users\ALI\Desktop\indirilen fotolar\7d8f058238.jpg,67,reject,dark|low_contrast|underexposed|noisy,23074.291,47.605,33.415,0.08990,0.00000,0.49443
C:\Users\ALI\Desktop\indirilen fotolar\7ef7525e84.jpg,69,reject,dark|low_contrast|underexposed|noisy,23284.124,49.578,34.176,0.08351,0.00000,0.49654
C:\Users\ALI\Desktop\indirilen fotolar\7fefda156b.jpg,71,accept,dark|low_contrast|noisy,22921.420,51.283,34.802,0.07391,0.00000,0.49502
C:\Users\ALI\Desktop\indirilen fotolar\80_HUAWEI-P30-PRO_M.jpg,99,accept,,125.462,117.543,53.512,0.00240,0.00446,0.02030
C:\Users\ALI\Desktop\indirilen fotolar\81_SAMSUNG-GALAXY-J3_M.jpg,87,reject,blurred,72.745,149.345,58.357,0.00000,0.00844,0.02454
C:\Users\ALI\Desktop\indirilen fotolar\81c72802ad.jpg,67,reject,dark|low_contrast|underexposed|noisy,23222.759,47.889,33.614,0.08815,0.00000,0.49605
